Property Reference,Property Description,Rateable Value,Account Name,Liability Start Date,Property Address 1,Property Address 2,Property Address 3,Property Address 4,Property Address 5,Property Post Code,Empty Date,Exemption Code
2244000830000B,SHOP AND PREMISES,"£30,500.00",3k Properties Limited,07/12/2021,83 High Street,Barnet,Hertfordshire,,,EN5 5UR,07/12/2021,NONE
44760026000005,SHOP AND PREMISES,"£12,750.00",Aarthri Ltd,09/01/2025,260 Watford Way,London,,,,NW4 4UJ,09/01/2025,NONE
22440006000016,RESTAURANT AND PREMISES,"£19,000.00",Abbey Commercial Limited,13/06/2025,60 High Street,Barnet,Hertfordshire,,,EN5 5SJ,23/04/2025,NONE
2180000271002A,OFFICES AND PREMISES,"£60,000.00",AJP Investments Limited,01/09/2024,Pilat Ltd,29 Hendon Lane,London,,,N3 1SL,01/09/2024,NONE
33900001800002,SHOP AND PREMISES,"£13,750.00",All4agents Ltd,23/01/2018,18 Parson Street,London,,,,NW4 1QB,01/04/2024,NONE
44761000010032,LAND USED FOR STORAGE AND PREMISES,"£28,500.00",Amazon Uk Services Ltd,13/02/2021,Land (mercedes Benz),Pentavia Retail Park,Watford Way,London,,NW7 2PT,13/02/2021,LAND
44761000920009,RETAIL WAREHOUSE AND PREMISES,"£247,000.00",Amazon uk Services Ltd,10/08/2021,Comet Plc Unit 1 Pentavia Retail Pk,Watford Way,London,,,NW7 2ET,10/08/2021,NONE
36360029810046,OFFICES AND PREMISES,"£78,000.00",Antipodean (uk) Limited,24/03/2025,4th Fl Marlborough House 298,Regents Park Road,London,,,N3 2SZ,24/03/2025,NONE
40860019210102,OFFICES AND PREMISES,"£4,050.00",Antit Website Design & Development Ltd,30/06/2025,Suite 8,2nd Flr,192B Station Road,Edgware,,HA8 7AR,30/06/2025,NONE
1485001300002,SHOP AND PREMISES,"£25,000.00",Aqua Home Services Ltd,29/05/2023,13 Boulevard Drive,London,,,,NW9 5JH,29/05/2023,NONE
